Fee-Earnings reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,出品者,トラッキングID,発送日,価格,発送済み商品,返品済み商品,売上,紹介料率,紹介料,デバイスの種類
ホーム,無印良品 スチールタップ収納箱 フラップ式 ホワイトグレー 幅32×奥行10×高さ14cm 44596654,B0BL9SWMCR,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,1552.00,1,0,1552.0,3.03,47.00,PHONE
携帯電話&アクセサリ,【4枚セット】For RUIMEN H1 スマートウォッチ 1.85インチ フィルム Mosasa 保護フィルム 柔らかい 24時間自動修復技術 衝撃吸収 飛散防止 3D全面保護 指紋対策 反射低減 気泡ゼロ 高透過率 高感度,B0FKN7QQHX,3rd Party,daily-gadget-22,2025-12-20 00:00:00,681.00,1,0,681.0,2.06,14.00,PHONE
おもちゃ&ホビー,縄跳び 【初心者でも跳びやすい】【縄跳びを好きになってもらうための縄跳び】 子供 幼児 小学生 なわとび Wal Base (青),B0B2MZKWR2,3rd Party,daily-gadget-22,2025-12-20 00:00:00,817.00,1,0,817.0,3.06,25.00,PHONE
ビューティー&グルーミング,SHISEIDO(資生堂) ボディータオル (ハード)632,B00A34P6F2,Amazon.co.jp,daily-gadget-22,2025-12-20 00:00:00,457.00,1,0,457.0,5.03,23.00,PHONE
電子部品&ホームオーディオ,AuviPal 2-in-1マイクロUSBケーブル（OTGケーブル+電源ケーブル）-2パック,B07FY9Z9GD,3rd Party,daily-gadget-22,2025-12-20 00:00:00,635.00,1,0,635.0,2.05,13.00,PHONE
電子部品&ホームオーディオ,Anker PowerLine III Flow USB-C & USB-C ケーブル Anker絡まないケーブル 240W 結束バンド付き USB PD対応 シリコン素材採用 iPhone 17 / 16 / 15 / Galaxy iPad Pro MacBook Pro/Air 各種対応 (1,B093L5CMMT,3rd Party,daily-gadget-22,2025-12-19 00:00:00,1400.00,1,0,1400.0,2.00,28.00,DESKTOP
食品&飲料、グルメ,ギフト スイーツ ゴディバ (GODIVA) ゴディバ オータム コレクション グランプラス（12粒入）,B0FN2VCDB2,3rd Party,daily-gadget-22,2025-12-19 00:00:00,3704.00,1,0,3704.0,7.99,296.00,PHONE
ヘルスケア&家庭用品,カルシウム／マグ 90日分【栄養機能食品（カルシウム・マグネシウム）】,B06XW1TNBX,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,1027.00,2,0,2054.0,4.97,102.00,PHONE
ペットフード&用品,ナチュラルペットフーズ エクセル 野鳥のまき餌1.4kg,B00ZOUJ1JW,3rd Party,daily-gadget-22,2025-12-19 00:00:00,1073.00,1,0,1073.0,5.03,54.00,PHONE
ヘルスケア&家庭用品,【第2類医薬品】ユリナールb 60錠,B00MA6K8UE,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,1802.00,1,0,1802.0,4.99,90.00,PHONE
おもちゃ&ホビー,[DECEED] クリスマスツリー コスプレ 衣装 着ぐるみ 大人用 2点セット クリスマス 面白い コスチューム 男女兼用 忘年会 新年会 イベント パーティ 仮装 舞台服 余興 ステージ衣装 [並行輸入品],B0DLWZJSWN,3rd Party,daily-gadget-22,2025-12-19 00:00:00,2817.00,1,0,2817.0,3.02,85.00,DESKTOP
食品&飲料、グルメ,ウィルキンソン アサヒ飲料 MS+B タンサン レモン ラベルレスボトル 500ml×24本[炭酸水] 【Amazon.co.jp限定】,B08LZZ36ND,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,2098.00,1,0,2098.0,8.01,168.00,PHONE
食品&飲料、グルメ,ウィルキンソン アサヒ飲料 MS+B タンサン レモン ラベルレスボトル 500ml×24本[炭酸水] 【Amazon.co.jp限定】,B08LZZ36ND,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,2098.00,1,0,2098.0,8.01,168.00,PHONE
キッチン&ダイニング,CIO マグウォーマー2 カップウォーマー と Qi2 ワイヤレス充電器 の1台2役 付属のヒーター内蔵 専用 保温マグカップ を 40 ～ 70℃ で保温 1℃単位 調整 アプリで設定をカスタマイズ 最大8時間連続保温 最大3つ設定保存 USB ケーブル付属 20W 充電器別売り コーヒー 紅茶 ,B0FPMH8PS6,3rd Party,daily-gadget-22,2025-12-19 00:00:00,5426.00,1,0,5426.0,2.01,109.00,PHONE
携帯電話&アクセサリ,MOFT【公式直営店】ノートパソコンスタンド 非粘着 15°&25° 二段階調整可能 互換性 収納便利 ノートpcスタンド 7~11インチのタブレット、 11~14のpcに対応 持ち運び便利 コンパクト 放熱穴付き 折り畳み 腰痛/猫背防止（スペースグレー）,B07T9KW1WS,3rd Party,daily-gadget-22,2025-12-19 00:00:00,3075.00,1,0,3075.0,2.02,62.00,PHONE
おもちゃ&ホビー,オリムパス 刺しゅうワッペン きかんしゃトーマス シール アイロン 両用タイプ ニア C231 サイズ約3.4cm×4.3cm,B0CSMD725P,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,700.00,1,0,700.0,3.00,21.00,DESKTOP
電子部品&ホームオーディオ,Anker Eufy (ユーフィ) SmartTrack Card (Android用) (紛失防止タグ) 【 Googleの「検索ハブ」に対応 (Android端末のみ) / なくしものが、無くなる/スマートタグ/盗難防止タグ/スマホが見つかる/スマホ鳴らす】,B0D9VVC187,3rd Party,daily-gadget-22,2025-12-19 00:00:00,2445.00,1,0,2445.0,2.00,49.00,PHONE
ヘルスケア&家庭用品,VALX バルクス ホエイ プロテイン 1kg ホエイプロテイン チョコレート 風味 プロテイン WPC チョコ ダイエット 山本義徳 監修 国内製造,B08SHY7XKH,3rd Party,daily-gadget-22,2025-12-19 00:00:00,4139.00,1,0,4139.0,5.00,207.00,PHONE
ヘルスケア&家庭用品,VITAS（バイタス） VITA POWER ビタパワー マカ 亜鉛 マルチビタミン 120粒 30日分,B08THGRBZ6,3rd Party,daily-gadget-22,2025-12-19 00:00:00,2296.00,1,0,2296.0,5.01,115.00,PHONE
電子部品&ホームオーディオ,Anker PowerLine III Flow USB-C & USB-C ケーブル Anker絡まないケーブル USB PD対応 シリコン素材採用240W iPhone 16 / 15 Galaxy iPad Pro/Air MacBook Pro/Air 各種対応 (0.9m ラベンダーグレー,B093L878QZ,3rd Party,daily-gadget-22,2025-12-19 00:00:00,1309.00,1,0,1309.0,1.99,26.00,DESKTOP
書籍&テキスト,英検準２級プラス合格問題集,4471276336,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,1200.00,1,0,1200.0,3.00,36.00,PHONE
電子部品&ホームオーディオ,[YANS] タブレットスタンド 軽量 薄型 200g 角度調整 アルミ合金製 折りたたみ式 持ち運び 仕事 作業 絵描き 動画視聴 会議 サイズ19x16.5x13.6cm (グレー),B0FPBCMN63,3rd Party,daily-gadget-22,2025-12-19 00:00:00,2726.00,1,0,2726.0,2.02,55.00,PHONE
携帯電話&アクセサリ,Anker Power Bank (25000mAh Built-In & 巻取り式USB-Cケーブル) 【PD対応/PSE技術基準適合/USB-C入力対応 / 165W出力 MacBook PD対応Windows PC iPad Pro iPhone 17 / 16 / 15 Galaxy An,B0DT4PHGV5,3rd Party,daily-gadget-22,2025-12-19 00:00:00,9991.00,1,0,9991.0,2.00,200.00,DESKTOP
電子部品&ホームオーディオ,パナソニック リチウム電池 コイン形 3V 1個入 CR-1632,B000O78A7E,Amazon.co.jp,daily-gadget-22,2025-12-19 00:00:00,147.00,3,0,441.0,2.04,9.00,DESKTOP
Kindle書籍,葬送のフリーレン（１５） (少年サンデーコミックス),B0G4CT7JWF,3rd Party,daily-gadget-22,2025-12-18 00:00:00,530.00,1,0,530.0,10.00,53.00,PHONE
テレビゲームのダウンロード,Pokémon LEGENDS Z-A Nintendo Switch 2 Edition|オンラインコード版,B0FJWZN58K,3rd Party,daily-gadget-22,2025-12-18 00:00:00,7290.00,1,0,7290.0,2.00,146.00,PHONE
電子部品&ホームオーディオ,エレコム クリーニングリキッド 液晶用 クリーニングクロスセット 超極細分割繊維 帯電防止効果 ノンアルコールタイプ 100ml CK-DP100SET,B09JNCG3L6,Amazon.co.jp,daily-gadget-22,2025-12-18 00:00:00,975.00,1,0,975.0,2.05,20.00,PHONE
ヘルスケア&家庭用品,VITAS（バイタス）アルギニン シトルリン エナジー風味 240g L-アルギニン90000mg L-シトルリン24000mg,B09BZ69QQL,3rd Party,daily-gadget-22,2025-12-18 00:00:00,2574.00,1,0,2574.0,5.01,129.00,PHONE
